Hippo_ICV.A1BG	`Hippo_ICV` ~ `A1BG`
Hippo_ICV.A1CF	`Hippo_ICV` ~ `A1CF`
Hippo_ICV.A2M	`Hippo_ICV` ~ `A2M`
Hippo_ICV.A2ML1	`Hippo_ICV` ~ `A2ML1`
Hippo_ICV.A3GALT2	`Hippo_ICV` ~ `A3GALT2`
Hippo_ICV.A4GALT	`Hippo_ICV` ~ `A4GALT`
Hippo_ICV.A4GNT	`Hippo_ICV` ~ `A4GNT`
Hippo_ICV.AAAS	`Hippo_ICV` ~ `AAAS`
Hippo_ICV.AACS	`Hippo_ICV` ~ `AACS`
Hippo_ICV.AACSP1	`Hippo_ICV` ~ `AACSP1`
Hippo_ICV.AADAC	`Hippo_ICV` ~ `AADAC`
Hippo_ICV.AADACL2	`Hippo_ICV` ~ `AADACL2`
Hippo_ICV.AADACL3	`Hippo_ICV` ~ `AADACL3`
Hippo_ICV.AADACL4	`Hippo_ICV` ~ `AADACL4`
Hippo_ICV.AADAT	`Hippo_ICV` ~ `AADAT`
Hippo_ICV.AAED1	`Hippo_ICV` ~ `AAED1`
Hippo_ICV.AAGAB	`Hippo_ICV` ~ `AAGAB`
Hippo_ICV.AAK1	`Hippo_ICV` ~ `AAK1`
Hippo_ICV.AAMDC	`Hippo_ICV` ~ `AAMDC`
Hippo_ICV.AAMP	`Hippo_ICV` ~ `AAMP`
Hippo_ICV.AANAT	`Hippo_ICV` ~ `AANAT`
Hippo_ICV.AAR2	`Hippo_ICV` ~ `AAR2`
Hippo_ICV.AARD	`Hippo_ICV` ~ `AARD`
Hippo_ICV.AARS2	`Hippo_ICV` ~ `AARS2`
Hippo_ICV.AARS	`Hippo_ICV` ~ `AARS`
Hippo_ICV.AARSD1	`Hippo_ICV` ~ `AARSD1`
Hippo_ICV.AASDH	`Hippo_ICV` ~ `AASDH`
Hippo_ICV.AASDHPPT	`Hippo_ICV` ~ `AASDHPPT`
Hippo_ICV.AASS	`Hippo_ICV` ~ `AASS`
Hippo_ICV.AATF	`Hippo_ICV` ~ `AATF`
Hippo_ICV.AATK	`Hippo_ICV` ~ `AATK`
Hippo_ICV.ABAT	`Hippo_ICV` ~ `ABAT`
Hippo_ICV.ABCA10	`Hippo_ICV` ~ `ABCA10`
Hippo_ICV.ABCA12	`Hippo_ICV` ~ `ABCA12`
Hippo_ICV.ABCA13	`Hippo_ICV` ~ `ABCA13`
Hippo_ICV.ABCA1	`Hippo_ICV` ~ `ABCA1`
Hippo_ICV.ABCA2	`Hippo_ICV` ~ `ABCA2`
Hippo_ICV.ABCA3	`Hippo_ICV` ~ `ABCA3`
Hippo_ICV.ABCA4	`Hippo_ICV` ~ `ABCA4`
Hippo_ICV.ABCA5	`Hippo_ICV` ~ `ABCA5`
Hippo_ICV.ABCA6	`Hippo_ICV` ~ `ABCA6`
Hippo_ICV.ABCA7	`Hippo_ICV` ~ `ABCA7`
Hippo_ICV.ABCA8	`Hippo_ICV` ~ `ABCA8`
Hippo_ICV.ABCA9	`Hippo_ICV` ~ `ABCA9`
Hippo_ICV.ABCB10	`Hippo_ICV` ~ `ABCB10`
Hippo_ICV.ABCB11	`Hippo_ICV` ~ `ABCB11`
Hippo_ICV.ABCB1	`Hippo_ICV` ~ `ABCB1`
Hippo_ICV.ABCB4	`Hippo_ICV` ~ `ABCB4`
Hippo_ICV.ABCB5	`Hippo_ICV` ~ `ABCB5`
Hippo_ICV.ABCB6	`Hippo_ICV` ~ `ABCB6`
Hippo_ICV.ABCB7	`Hippo_ICV` ~ `ABCB7`
Hippo_ICV.ABCB8	`Hippo_ICV` ~ `ABCB8`
Hippo_ICV.ABCB9	`Hippo_ICV` ~ `ABCB9`
Hippo_ICV.ABCC10	`Hippo_ICV` ~ `ABCC10`
Hippo_ICV.ABCC11	`Hippo_ICV` ~ `ABCC11`
Hippo_ICV.ABCC12	`Hippo_ICV` ~ `ABCC12`
Hippo_ICV.ABCC13	`Hippo_ICV` ~ `ABCC13`
Hippo_ICV.ABCC1	`Hippo_ICV` ~ `ABCC1`
Hippo_ICV.ABCC2	`Hippo_ICV` ~ `ABCC2`
Hippo_ICV.ABCC3	`Hippo_ICV` ~ `ABCC3`
Hippo_ICV.ABCC4	`Hippo_ICV` ~ `ABCC4`
Hippo_ICV.ABCC5	`Hippo_ICV` ~ `ABCC5`
Hippo_ICV.ABCC6	`Hippo_ICV` ~ `ABCC6`
Hippo_ICV.ABCC6P1	`Hippo_ICV` ~ `ABCC6P1`
Hippo_ICV.ABCC6P2	`Hippo_ICV` ~ `ABCC6P2`
Hippo_ICV.ABCC8	`Hippo_ICV` ~ `ABCC8`
Hippo_ICV.ABCC9	`Hippo_ICV` ~ `ABCC9`
Hippo_ICV.ABCD1	`Hippo_ICV` ~ `ABCD1`
Hippo_ICV.ABCD2	`Hippo_ICV` ~ `ABCD2`
Hippo_ICV.ABCD3	`Hippo_ICV` ~ `ABCD3`
Hippo_ICV.ABCD4	`Hippo_ICV` ~ `ABCD4`
Hippo_ICV.ABCE1	`Hippo_ICV` ~ `ABCE1`
Hippo_ICV.ABCF1	`Hippo_ICV` ~ `ABCF1`
Hippo_ICV.ABCF2	`Hippo_ICV` ~ `ABCF2`
Hippo_ICV.ABCF3	`Hippo_ICV` ~ `ABCF3`
Hippo_ICV.ABCG1	`Hippo_ICV` ~ `ABCG1`
Hippo_ICV.ABCG2	`Hippo_ICV` ~ `ABCG2`
Hippo_ICV.ABCG4	`Hippo_ICV` ~ `ABCG4`
Hippo_ICV.ABCG5	`Hippo_ICV` ~ `ABCG5`
